Platform,Post_Type,Post_Content,Post_Timestamp,Likes,Comments,Shares,Impressions,Reach,Engagement_Rate,Audience_Age,Audience_Gender,Audience_Location,Sentiment,Post_Day,Content_Length
Instagram,Video,Suggest quality decision feel yard both I.,2024-03-08 06:02:50,938,466,147,9931,3569,43.46,50,Other,Iraq,Negative,Friday,42
Instagram,Image,Tonight newspaper learn speech.,2024-03-08 05:56:23,583,483,86,5472,1463,78.74,64,Male,Cote d'Ivoire,Neutral,Friday,31
Twitter,Link,Goal throughout fish positive continue seven trade myself.,2024-03-08 05:33:32,299,50,8,3209,4752,7.51,24,Other,Tonga,Negative,Friday,58
Instagram,Link,Card offer meet heavy organization.,2024-03-08 04:54:49,502,173,56,5906,3012,24.27,22,Male,Brazil,Neutral,Friday,35
Facebook,Link,Task material cup.,2024-03-08 04:50:47,629,306,156,5370,2992,36.46,48,Male,Aruba,Neutral,Friday,18
Instagram,Link,Range somebody check.,2024-03-08 04:11:32,226,300,55,4878,2135,27.21,50,Other,Seychelles,Negative,Friday,21
Facebook,Image,Religious and door political which draw talk.,2024-03-08 02:24:20,677,119,154,3807,4740,20.04,36,Other,Austria,Neutral,Friday,45
LinkedIn,Image,Leave kind after concern friend.,2024-03-08 01:35:26,260,199,103,3994,1857,30.26,52,Male,New Caledonia,Negative,Friday,32
Facebook,Image,Official central partner.,2024-03-08 01:20:13,144,187,63,4727,1048,37.6,57,Male,Gambia,Neutral,Friday,25
Twitter,Link,Full result more.,2024-03-08 01:18:00,354,92,160,8013,2010,30.15,23,Male,Cayman Islands,Neutral,Friday,17
LinkedIn,Video,Section admit on time section mission key.,2024-03-07 23:49:21,624,351,176,8842,2230,51.61,53,Female,Barbados,Negative,Thursday,42
Twitter,Link,Daughter reflect significant finish.,2024-03-07 23:19:45,708,495,42,5667,3582,34.76,65,Other,Saint Helena,Negative,Thursday,36
LinkedIn,Video,Them accept again physical poor wish.,2024-03-07 23:04:38,37,170,108,4178,4281,7.36,59,Female,Cameroon,Neutral,Thursday,37
Instagram,Video,Think way star question cold century general control.,2024-03-07 22:52:43,629,145,125,7353,4013,22.4,49,Male,French Southern Territories,Neutral,Thursday,53
LinkedIn,Video,What research option course member make.,2024-03-07 22:39:26,779,330,31,3692,3265,34.92,49,Male,Puerto Rico,Neutral,Thursday,40
LinkedIn,Video,Season same yes way little.,2024-03-07 22:24:44,487,460,102,9822,2164,48.48,47,Other,Cyprus,Positive,Thursday,27
LinkedIn,Link,Then throw require discuss consumer able letter.,2024-03-07 21:26:33,261,48,23,3930,2960,11.22,31,Male,Antarctica (the territory South of 60 deg S),Positive,Thursday,48
Facebook,Link,Carry radio knowledge already physical ability might.,2024-03-07 20:39:02,264,136,18,4116,1290,32.4,54,Female,Argentina,Neutral,Thursday,53
Twitter,Link,Help adult general executive face sure.,2024-03-07 20:14:48,816,388,17,5773,2669,45.75,18,Male,Ecuador,Positive,Thursday,39
Twitter,Image,Mr herself table hot.,2024-03-07 17:08:51,907,192,42,5760,1425,80.07,64,Male,Sri Lanka,Negative,Thursday,21
Facebook,Video,Political amount too continue weight.,2024-03-07 16:59:31,568,284,24,7088,2106,41.6,51,Female,Guernsey,Neutral,Thursday,37
Twitter,Link,Dog high room part sort head.,2024-03-07 16:53:39,270,4,32,7727,1158,26.42,37,Male,Burundi,Negative,Thursday,29
Facebook,Link,Gas reach type break clearly father itself success.,2024-03-07 16:34:43,991,368,94,1999,3280,44.3,53,Female,Mayotte,Neutral,Thursday,51
LinkedIn,Video,Nothing fish determine.,2024-03-07 15:57:54,939,332,42,4621,1974,66.51,29,Female,Bouvet Island (Bouvetoya),Positive,Thursday,23
Facebook,Link,Young stay everybody owner.,2024-03-07 15:45:10,736,116,40,9540,4244,21.02,44,Male,Saint Vincent and the Grenadines,Neutral,Thursday,27
LinkedIn,Link,But fire situation simply none gas.,2024-03-07 15:24:19,268,48,54,5450,4603,8.04,44,Other,Finland,Negative,Thursday,35
Facebook,Link,Word perhaps later arrive strong allow with everybody.,2024-03-07 14:33:21,452,102,117,3770,2102,31.92,51,Female,Turks and Caicos Islands,Neutral,Thursday,54
Instagram,Video,Cup network instead good trouble enjoy.,2024-03-07 13:28:19,164,298,200,2472,1168,56.68,19,Other,Norway,Positive,Thursday,39
LinkedIn,Image,Appear environmental between any might east.,2024-03-07 11:41:51,352,402,157,4683,3358,27.13,38,Male,Switzerland,Positive,Thursday,44
Facebook,Video,Investment huge message upon job right quality.,2024-03-07 11:01:55,400,392,21,4294,4629,17.56,37,Female,Chad,Positive,Thursday,47
LinkedIn,Video,This page ahead.,2024-03-07 10:15:01,933,452,0,8875,3548,39.04,53,Female,Trinidad and Tobago,Positive,Thursday,16
Instagram,Link,Herself outside chair meeting involve mind let.,2024-03-07 09:29:26,713,115,23,5083,1239,68.68,58,Female,Iraq,Negative,Thursday,47
LinkedIn,Image,Peace shoulder cost.,2024-03-07 09:12:16,276,199,143,7642,4124,14.99,43,Male,Sao Tome and Principe,Positive,Thursday,20
Facebook,Video,Service party store eight world identify.,2024-03-07 09:06:59,132,101,64,8427,4054,7.33,59,Male,Mongolia,Negative,Thursday,41
Twitter,Image,Never surface same whose environment accept.,2024-03-07 08:22:55,808,5,47,3398,4096,21.0,61,Other,United States of America,Positive,Thursday,44
Instagram,Link,By challenge pass to sometimes share.,2024-03-07 08:07:35,255,22,30,2073,3643,8.43,21,Female,North Macedonia,Neutral,Thursday,37
Twitter,Video,Each occur similar suddenly sound.,2024-03-07 07:27:51,859,188,110,9408,3495,33.1,27,Male,Greece,Negative,Thursday,34
Instagram,Image,Reality nature bill science.,2024-03-07 06:16:23,438,124,35,8236,711,83.97,23,Other,Peru,Neutral,Thursday,28
LinkedIn,Image,Put reality card while.,2024-03-07 06:08:55,221,59,16,4887,2250,13.16,43,Female,Brazil,Negative,Thursday,23
Instagram,Link,Bad difficult believe miss purpose through.,2024-03-07 05:19:14,125,9,66,3513,4923,4.06,38,Other,France,Positive,Thursday,43
LinkedIn,Image,Analysis art ahead sure fly plant sense argue.,2024-03-07 05:16:07,297,427,182,5839,2795,32.42,38,Female,Hungary,Positive,Thursday,46
Facebook,Image,Treat current age center test run.,2024-03-07 05:12:29,410,481,58,8622,1901,49.92,45,Male,Barbados,Positive,Thursday,34
LinkedIn,Link,Fund before lawyer child culture impact can.,2024-03-07 04:38:49,301,126,27,8432,2641,17.19,64,Male,North Macedonia,Positive,Thursday,44
Facebook,Image,Focus wall think manage kind environment place free.,2024-03-07 04:14:10,156,476,199,7151,4866,17.08,34,Female,Bermuda,Negative,Thursday,52
LinkedIn,Image,Home parent certainly car carry discover.,2024-03-07 04:06:07,651,374,168,2164,1463,81.54,34,Other,Kuwait,Negative,Thursday,41
Instagram,Video,Military beautiful quality official cell carry rule also.,2024-03-07 02:22:14,92,336,79,2184,1767,28.69,55,Male,Nauru,Positive,Thursday,57
Twitter,Image,Subject develop win we.,2024-03-07 02:00:06,726,111,20,5764,1677,51.1,33,Female,Canada,Neutral,Thursday,23
Facebook,Link,Democrat machine enter edge resource.,2024-03-07 01:14:52,196,418,143,5403,1302,58.14,54,Other,Kyrgyz Republic,Neutral,Thursday,37
Facebook,Link,Young even under.,2024-03-06 23:35:34,518,240,197,2823,1940,49.23,22,Female,Jordan,Neutral,Wednesday,17
Instagram,Image,Sea owner question would exactly hear think.,2024-03-06 23:28:10,171,68,149,3116,2364,16.41,55,Male,Marshall Islands,Neutral,Wednesday,44
Instagram,Link,Teacher against without defense each discover.,2024-03-06 21:17:27,287,279,16,5248,2816,20.67,23,Other,Honduras,Negative,Wednesday,46
Twitter,Image,Sit executive magazine.,2024-03-06 20:58:50,804,418,0,5538,4756,25.69,39,Female,Georgia,Neutral,Wednesday,23
Twitter,Link,Senior growth pay son million yes of common.,2024-03-06 20:58:44,645,365,11,9795,1558,65.53,25,Male,United Kingdom,Positive,Wednesday,44
Twitter,Image,Research pay local news all.,2024-03-06 20:33:37,759,485,33,5819,2555,49.98,33,Male,Belarus,Negative,Wednesday,28
LinkedIn,Image,Detail society how road area table picture.,2024-03-06 20:26:47,471,241,101,6821,2148,37.85,28,Male,Cayman Islands,Positive,Wednesday,43
Facebook,Link,List authority audience life responsibility.,2024-03-06 19:24:59,858,281,74,5701,2137,56.76,62,Other,Belgium,Positive,Wednesday,44
LinkedIn,Link,Wind bill behavior.,2024-03-06 19:20:24,5,405,83,2404,4412,11.17,60,Male,Mali,Neutral,Wednesday,19
Facebook,Image,Event rise security senior day set.,2024-03-06 18:40:53,127,205,76,2587,3075,13.27,25,Female,Denmark,Positive,Wednesday,35
Twitter,Link,Rock firm assume language.,2024-03-06 17:58:25,988,269,198,3285,3577,40.68,47,Other,Guinea-Bissau,Negative,Wednesday,26
Twitter,Image,Camera part heavy among child share.,2024-03-06 17:56:12,745,143,194,9038,4579,23.63,63,Female,Cuba,Neutral,Wednesday,36
Twitter,Video,Light accept decision grow air.,2024-03-06 15:51:17,905,442,191,2383,4279,35.94,65,Female,Ecuador,Positive,Wednesday,31
Facebook,Video,Throw effort off morning hear wife generation.,2024-03-06 15:46:35,439,219,161,6066,3416,23.98,24,Other,Fiji,Positive,Wednesday,46
Twitter,Link,Play person success its share.,2024-03-06 15:45:25,422,89,148,5709,3512,18.76,65,Male,Russian Federation,Neutral,Wednesday,30
Instagram,Link,Worry choose ball nature.,2024-03-06 15:35:09,802,388,73,7256,4930,25.62,29,Female,Timor-Leste,Positive,Wednesday,25
Facebook,Video,Republican upon standard later.,2024-03-06 15:18:05,70,444,23,4951,1673,32.1,38,Other,Guam,Negative,Wednesday,31
Facebook,Video,Throughout knowledge black need develop people.,2024-03-06 14:47:36,979,0,36,9316,4484,22.64,46,Female,Congo,Neutral,Wednesday,47
Twitter,Link,Particularly receive believe ago serious one.,2024-03-06 14:24:59,693,133,143,8575,1924,50.36,34,Other,Netherlands Antilles,Negative,Wednesday,45
LinkedIn,Video,To doctor strategy employee activity soldier decide read.,2024-03-06 13:08:31,913,453,73,3843,4756,30.26,45,Other,Mali,Positive,Wednesday,57
Facebook,Video,Activity me less reveal number.,2024-03-06 12:46:48,733,404,109,6972,1250,99.68,44,Male,Yemen,Neutral,Wednesday,31
Instagram,Link,Population still man near protect.,2024-03-06 12:43:13,185,380,194,8127,3738,20.3,32,Male,Heard Island and McDonald Islands,Negative,Wednesday,34
Facebook,Link,So month audience response develop campaign.,2024-03-06 12:38:48,364,470,166,1922,1534,65.19,20,Female,Hungary,Positive,Wednesday,44
LinkedIn,Image,Lot fact interesting pretty same left play.,2024-03-06 12:03:17,879,473,37,7418,3728,37.26,54,Other,Tunisia,Neutral,Wednesday,43
Instagram,Link,Performance attention expect world person.,2024-03-06 11:31:29,200,169,182,2964,4780,11.53,52,Other,Trinidad and Tobago,Negative,Wednesday,42
LinkedIn,Video,Resource when shake mention.,2024-03-06 10:00:31,752,83,109,9316,4399,21.46,42,Other,Holy See (Vatican City State),Neutral,Wednesday,28
Facebook,Video,Business can eight when arrive scene many.,2024-03-06 09:03:02,482,92,60,3062,775,81.81,21,Other,Rwanda,Negative,Wednesday,42
Facebook,Image,Me someone position spend agreement toward fish.,2024-03-06 08:49:00,181,249,153,8811,677,86.12,42,Other,Gabon,Negative,Wednesday,48
LinkedIn,Image,Teach about nation head.,2024-03-06 06:22:04,611,293,64,1735,2265,42.74,30,Other,Burundi,Negative,Wednesday,24
Twitter,Link,Type professor test agreement why physical.,2024-03-06 06:08:00,910,418,80,7300,4039,34.86,61,Male,Saint Barthelemy,Negative,Wednesday,43
Twitter,Image,Less high wall unit.,2024-03-06 05:48:28,962,367,32,8841,4635,29.36,24,Male,Zimbabwe,Negative,Wednesday,20
LinkedIn,Link,Might community start ago.,2024-03-06 04:59:36,861,438,29,1207,2756,48.19,53,Male,Moldova,Positive,Wednesday,26
Facebook,Link,Wait yourself cell memory high.,2024-03-06 04:54:20,468,294,74,6206,1220,68.52,62,Female,Barbados,Positive,Wednesday,31
Instagram,Video,Two charge middle environmental.,2024-03-06 04:48:22,997,302,32,4432,4416,30.14,62,Male,Ireland,Neutral,Wednesday,32
Twitter,Video,Analysis very response answer near.,2024-03-06 04:11:32,894,467,14,1393,3230,42.57,22,Other,Botswana,Positive,Wednesday,35
Facebook,Image,Continue serve concern but because his.,2024-03-06 04:11:18,272,233,24,9816,4520,11.7,61,Male,Morocco,Positive,Wednesday,39
Instagram,Image,Threat catch decide page light.,2024-03-06 03:43:36,672,266,82,1793,1309,77.92,36,Female,Cape Verde,Positive,Wednesday,31
Twitter,Video,Early board between prepare husband become moment sit.,2024-03-06 03:40:37,276,116,103,5317,4611,10.74,40,Male,Iceland,Positive,Wednesday,54
Facebook,Image,School safe deal parent but least.,2024-03-06 03:33:27,805,321,1,6110,4879,23.1,39,Female,Lebanon,Positive,Wednesday,34
Twitter,Video,Two sport accept weight force drive.,2024-03-06 03:12:26,484,241,85,6823,1856,43.64,62,Male,Turkmenistan,Neutral,Wednesday,36
LinkedIn,Link,Manager term continue green.,2024-03-06 02:46:36,757,4,160,7924,3374,27.3,43,Female,Vanuatu,Positive,Wednesday,28
Facebook,Video,Pull large value generation project use since wide.,2024-03-06 02:29:12,298,237,75,7240,3673,16.61,48,Male,Sri Lanka,Negative,Wednesday,51
Instagram,Link,Point assume dream sing.,2024-03-06 02:22:19,811,147,116,5242,2190,49.04,61,Male,Nauru,Neutral,Wednesday,24
Twitter,Link,Ground arrive certain.,2024-03-06 01:02:09,179,322,41,1584,2441,22.2,41,Other,India,Positive,Wednesday,22
LinkedIn,Image,Floor next do great since year allow.,2024-03-06 00:30:32,817,492,73,7994,3660,37.76,26,Other,Bangladesh,Neutral,Wednesday,37
LinkedIn,Image,Process vote news.,2024-03-05 23:09:31,158,431,160,7788,1185,63.21,26,Female,Pitcairn Islands,Negative,Tuesday,18
Twitter,Image,Mrs agreement analysis person political.,2024-03-05 22:29:20,180,130,163,3750,3153,15.0,54,Male,Marshall Islands,Negative,Tuesday,40
Twitter,Link,Any less career design traditional.,2024-03-05 20:59:51,407,377,95,6638,2342,37.53,21,Male,Uruguay,Neutral,Tuesday,35
Twitter,Link,Hotel treat candidate actually.,2024-03-05 20:40:15,721,266,94,4576,2616,41.32,46,Other,Cocos (Keeling) Islands,Neutral,Tuesday,31
Instagram,Video,Itself forget attention tell star.,2024-03-05 20:36:10,407,150,64,8317,2990,20.77,25,Other,Turks and Caicos Islands,Neutral,Tuesday,34
Instagram,Image,Play crime skin perform.,2024-03-05 20:03:24,415,42,95,7817,3827,14.42,56,Male,Saint Barthelemy,Neutral,Tuesday,24
LinkedIn,Link,Ok well building article just.,2024-03-05 18:21:24,824,330,182,2479,2093,63.83,29,Other,Nauru,Negative,Tuesday,30
Instagram,Link,Country fly cup push traditional trip avoid.,2024-03-05 16:46:14,414,15,13,4496,1865,23.7,29,Female,Sao Tome and Principe,Negative,Tuesday,44
Twitter,Video,She thank second consumer charge actually.,2024-03-05 14:13:33,783,239,188,9343,1387,87.24,19,Other,Liberia,Neutral,Tuesday,42
Instagram,Image,High development work show project fund.,2024-03-05 13:57:05,183,218,114,5863,3041,16.94,25,Other,Zimbabwe,Negative,Tuesday,40
Facebook,Link,Ahead may half affect middle.,2024-03-05 12:20:03,379,316,89,1254,2312,33.91,55,Male,American Samoa,Positive,Tuesday,29
Instagram,Video,Account age us financial brother across hospital.,2024-03-05 10:58:37,364,96,53,1590,551,93.1,27,Other,Belize,Negative,Tuesday,49
Instagram,Image,Include particular top picture ready property.,2024-03-05 10:56:08,110,359,172,2913,1049,61.11,42,Other,Trinidad and Tobago,Negative,Tuesday,46
LinkedIn,Image,Me fear student per rather cultural.,2024-03-05 10:51:09,506,367,95,9061,2614,37.03,53,Male,Martinique,Neutral,Tuesday,36
Facebook,Link,Same training authority business hit.,2024-03-05 10:16:31,158,436,15,4049,4416,13.79,59,Female,New Zealand,Positive,Tuesday,37
LinkedIn,Video,Talk personal base.,2024-03-05 09:42:19,272,304,14,2470,3850,15.32,24,Male,Dominica,Neutral,Tuesday,19
Facebook,Link,Economy board its investment market window.,2024-03-05 09:29:14,126,187,12,4190,1996,16.28,26,Male,Bolivia,Positive,Tuesday,43
LinkedIn,Image,Meet start wear political.,2024-03-05 08:50:27,43,233,155,6405,1380,31.23,27,Other,Panama,Neutral,Tuesday,26
Instagram,Link,Build fine then western myself particularly person.,2024-03-05 08:46:21,600,292,32,4105,4412,20.94,61,Male,New Caledonia,Neutral,Tuesday,51
Twitter,Video,Agent leave sound including quality arm human.,2024-03-05 08:44:54,138,10,34,3309,4900,3.71,19,Male,Gambia,Positive,Tuesday,46
Twitter,Link,Stock sound artist guy community growth.,2024-03-05 08:43:31,301,193,143,4163,4077,15.62,23,Male,Mozambique,Neutral,Tuesday,40
Twitter,Link,Job for face clearly first take.,2024-03-05 08:31:21,672,438,24,7661,3928,28.87,38,Other,Macao,Neutral,Tuesday,32
Instagram,Image,She clearly strong old discuss church spring note.,2024-03-05 07:20:23,519,40,83,3612,1120,57.32,44,Female,Comoros,Neutral,Tuesday,50
Instagram,Link,Child wrong effect pattern Democrat product yet trade.,2024-03-05 07:09:18,97,76,85,3129,3016,8.55,25,Male,Latvia,Positive,Tuesday,54
Twitter,Image,Middle voice shake reality discuss.,2024-03-05 06:45:44,450,211,67,4946,3935,18.5,64,Male,Dominican Republic,Positive,Tuesday,35
Twitter,Image,Official letter particular friend.,2024-03-05 06:29:16,29,345,188,2516,2043,27.51,20,Male,Bulgaria,Neutral,Tuesday,34
Twitter,Image,Quickly group pick no method free safe.,2024-03-05 06:28:29,1000,349,16,9504,2279,59.89,58,Female,Jamaica,Neutral,Tuesday,39
Twitter,Video,Sense fall along show party action.,2024-03-05 05:18:02,639,350,48,2435,1617,64.13,65,Male,Guinea-Bissau,Neutral,Tuesday,35
Facebook,Video,Sister rate administration Mr suddenly young.,2024-03-05 05:13:12,691,291,85,9565,2105,50.69,23,Male,Solomon Islands,Neutral,Tuesday,45
Instagram,Video,Day real stay like heavy.,2024-03-05 05:06:57,283,138,47,2731,3711,12.61,39,Other,Mayotte,Negative,Tuesday,25
Twitter,Link,Doctor morning institution product agreement tend Republican continue.,2024-03-05 04:29:51,869,114,161,5518,4160,27.5,62,Other,Northern Mariana Islands,Positive,Tuesday,70
Instagram,Link,Occur see lay management statement before plan.,2024-03-05 04:13:47,593,65,188,4298,3034,27.88,21,Other,Bouvet Island (Bouvetoya),Neutral,Tuesday,47
Twitter,Link,Energy image second represent bad probably station.,2024-03-05 03:20:44,443,330,158,2152,3143,29.62,24,Male,Faroe Islands,Neutral,Tuesday,51
LinkedIn,Video,Head one current pick require according.,2024-03-05 03:07:16,225,54,31,1923,1255,24.7,22,Female,Mauritania,Neutral,Tuesday,40
Facebook,Video,Pull decade son story clearly two require.,2024-03-05 02:15:55,769,454,90,7365,3264,40.23,20,Other,Bahrain,Negative,Tuesday,42
Instagram,Link,Reach our author manager sense hit direction.,2024-03-05 02:04:39,831,91,75,5407,3278,30.41,21,Male,Canada,Positive,Tuesday,45
Facebook,Video,Simple door marriage worry rest tough as.,2024-03-05 01:57:39,343,264,190,4064,2011,39.63,44,Female,United States of America,Positive,Tuesday,41
Facebook,Image,Couple commercial fund western.,2024-03-05 01:34:44,775,488,83,1523,3108,43.31,51,Male,Yemen,Neutral,Tuesday,31
Facebook,Link,Size between for theory suffer.,2024-03-05 01:27:14,610,337,58,9181,3844,26.14,30,Male,Niger,Positive,Tuesday,31
Facebook,Video,Still generation assume close court per.,2024-03-05 00:02:09,65,346,13,6128,710,59.72,34,Other,Azerbaijan,Negative,Tuesday,40
Twitter,Video,Career animal suffer sound.,2024-03-04 23:56:03,884,427,85,6029,3883,35.95,52,Female,Venezuela,Positive,Monday,27
Facebook,Link,Everyone pattern travel discuss less.,2024-03-04 23:55:55,690,102,88,1428,1322,66.57,44,Female,Antarctica (the territory South of 60 deg S),Negative,Monday,37
Facebook,Link,Computer politics sign ahead push put deep.,2024-03-04 22:49:41,305,405,131,1651,3033,27.73,38,Other,Angola,Neutral,Monday,43
Facebook,Link,Not knowledge us sound only game.,2024-03-04 22:46:48,27,3,78,9229,4102,2.63,37,Female,Japan,Positive,Monday,33
LinkedIn,Image,Yes trouble develop available beautiful bill.,2024-03-04 22:08:05,599,380,63,2710,2123,49.08,34,Male,Austria,Neutral,Monday,45
Facebook,Video,Ready card soldier front win after per.,2024-03-04 21:39:46,507,77,55,3257,3615,17.68,59,Male,Turkey,Positive,Monday,39
Twitter,Image,Send collection spring size last stage yeah.,2024-03-04 21:13:23,359,270,84,8066,887,80.38,48,Male,Kyrgyz Republic,Negative,Monday,44
Facebook,Video,Appear reality mouth attorney plan.,2024-03-04 21:02:15,821,193,118,2743,3371,33.58,34,Other,Gibraltar,Negative,Monday,35
LinkedIn,Image,Factor protect actually fish that.,2024-03-04 20:33:07,78,49,166,3767,4670,6.27,64,Male,Syrian Arab Republic,Negative,Monday,34
Instagram,Image,Box appear billion whole develop.,2024-03-04 20:14:24,700,24,57,9337,1015,76.95,18,Other,Peru,Negative,Monday,33
Twitter,Video,Adult board point see environmental.,2024-03-04 20:06:28,336,394,10,4627,4058,18.24,35,Other,United States Virgin Islands,Positive,Monday,36
LinkedIn,Video,Yard production stage suggest.,2024-03-04 18:42:21,662,383,14,5637,1707,62.04,48,Male,Wallis and Futuna,Positive,Monday,30
Facebook,Link,Theory trial eye recognize.,2024-03-04 18:40:39,676,425,166,7737,2274,55.72,61,Female,Brazil,Neutral,Monday,27
Facebook,Image,Will economic glass summer.,2024-03-04 16:07:33,366,261,8,2126,4542,13.98,40,Female,Italy,Negative,Monday,27
LinkedIn,Link,To very mission.,2024-03-04 15:28:20,562,171,189,8776,3089,29.85,57,Female,Cook Islands,Negative,Monday,16
Facebook,Image,Sense establish or agreement wall audience yard.,2024-03-04 14:41:47,367,344,124,1119,1419,58.84,33,Other,Pitcairn Islands,Positive,Monday,48
Instagram,Video,Leg least word clearly company per.,2024-03-04 13:40:19,713,310,54,3722,2747,39.21,36,Male,Samoa,Negative,Monday,35
Instagram,Image,Bag add age election.,2024-03-04 13:33:03,629,111,88,9483,975,84.92,21,Other,Fiji,Positive,Monday,21
Instagram,Video,Employee choose camera car apply Democrat idea miss.,2024-03-04 13:21:01,849,214,82,3972,4044,28.31,34,Male,Saint Helena,Positive,Monday,52
Facebook,Link,Fine bank same feeling call information strategy.,2024-03-04 11:47:12,750,305,146,5751,3589,33.46,37,Other,Iceland,Positive,Monday,49
Twitter,Link,When something contain present woman job.,2024-03-04 11:32:17,413,29,79,3600,2486,20.96,52,Female,Seychelles,Negative,Monday,41
Twitter,Video,Hundred government within eat record.,2024-03-04 11:21:31,501,122,79,2373,2032,34.55,51,Other,Cape Verde,Neutral,Monday,37
Twitter,Image,Success agreement hotel help describe.,2024-03-04 10:14:31,333,8,172,2195,2502,20.5,40,Female,Finland,Positive,Monday,38
Facebook,Image,Amount among social focus while east lay wall.,2024-03-04 10:06:42,971,474,39,7455,4073,36.44,55,Male,Ethiopia,Positive,Monday,46
Facebook,Link,Investment drop attack woman unit.,2024-03-04 10:02:29,729,107,95,2059,935,99.57,27,Female,Azerbaijan,Negative,Monday,34
Twitter,Link,Clear family cup dream maybe.,2024-03-04 09:54:53,774,375,130,5154,4216,30.34,51,Other,Macao,Negative,Monday,29
LinkedIn,Video,Step time over at during.,2024-03-04 06:48:32,19,39,104,1681,4693,3.45,24,Other,Portugal,Neutral,Monday,25
LinkedIn,Link,Character administration player matter take plan.,2024-03-04 06:32:34,826,245,175,7733,4989,24.97,47,Male,Heard Island and McDonald Islands,Neutral,Monday,49
LinkedIn,Image,Scene must share.,2024-03-04 05:22:41,682,221,130,1446,4987,20.71,32,Other,Taiwan,Neutral,Monday,17
Twitter,Image,Cause them miss above eight peace.,2024-03-04 05:19:20,287,117,148,6563,1698,32.51,22,Female,Svalbard & Jan Mayen Islands,Negative,Monday,34
LinkedIn,Video,Large behind question provide where amount purpose.,2024-03-04 04:55:15,839,22,106,6680,3413,28.33,18,Male,Brunei Darussalam,Negative,Monday,51
Facebook,Image,Bit region follow second.,2024-03-04 04:44:21,553,348,162,8677,4951,21.47,46,Female,Svalbard & Jan Mayen Islands,Negative,Monday,25
Facebook,Image,Under accept important various go say.,2024-03-04 03:38:59,969,116,10,6864,4056,27.0,40,Male,Greece,Negative,Monday,38
Facebook,Video,Coach husband four believe.,2024-03-04 02:52:24,402,308,106,7921,1180,69.15,48,Female,Guinea-Bissau,Negative,Monday,27
Instagram,Image,Simple couple special moment community else.,2024-03-04 02:26:33,615,290,12,6393,1686,54.39,23,Other,Croatia,Negative,Monday,44
Instagram,Image,Education there anything situation yes.,2024-03-04 01:26:47,184,430,58,2115,925,72.65,22,Other,Malawi,Negative,Monday,39
LinkedIn,Video,Success report why feeling become.,2024-03-04 00:29:37,142,417,132,2952,2643,26.14,33,Other,Reunion,Positive,Monday,34
Instagram,Image,The sound miss pick should if.,2024-03-03 23:55:02,533,18,132,9601,1066,64.07,25,Female,Botswana,Positive,Sunday,30
Instagram,Video,Degree society agreement number able.,2024-03-03 23:10:27,783,140,18,6082,2906,32.38,46,Male,Oman,Neutral,Sunday,37
Instagram,Video,Them guy forget factor success medical church.,2024-03-03 22:11:23,170,473,99,7188,4908,15.12,65,Female,Czech Republic,Positive,Sunday,46
